contador,timestamp,# palabras leidas,# errores
1,2026-03-16 21:56:45,0,0
2,2026-03-16 21:56:46,0,0
3,2026-03-16 21:56:47,0,0
4,2026-03-16 21:56:48,0,0
5,2026-03-16 21:56:49,0,0
6,2026-03-16 21:56:50,0,0
7,2026-03-16 21:56:51,0,0
8,2026-03-16 21:56:52,0,0
9,2026-03-16 21:56:53,0,0
10,2026-03-16 21:56:54,0,0
11,2026-03-16 21:56:55,0,0
12,2026-03-16 21:56:56,0,0
13,2026-03-16 21:56:57,0,0
14,2026-03-16 21:56:58,0,0
15,2026-03-16 21:56:59,0,0
16,2026-03-16 21:57:00,0,0
17,2026-03-16 21:57:01,0,0
18,2026-03-16 21:57:02,0,0
19,2026-03-16 21:57:03,0,0
20,2026-03-16 21:57:04,0,0
21,2026-03-16 21:57:05,0,0
22,2026-03-16 21:57:06,0,0
23,2026-03-16 21:57:07,28,0
24,2026-03-16 21:57:08,28,0
25,2026-03-16 21:57:09,28,0
26,2026-03-16 21:57:10,28,0
27,2026-03-16 21:57:11,28,0
28,2026-03-16 21:57:12,28,0
29,2026-03-16 21:57:13,28,0
30,2026-03-16 21:57:14,28,0
31,2026-03-16 21:57:15,28,0
32,2026-03-16 21:57:16,28,0
33,2026-03-16 21:57:17,28,0
34,2026-03-16 21:57:18,58,0
35,2026-03-16 21:57:19,58,0
36,2026-03-16 21:57:21,58,0
37,2026-03-16 21:57:22,58,0
38,2026-03-16 21:57:23,58,0
39,2026-03-16 21:57:24,58,0
40,2026-03-16 21:57:25,58,0
41,2026-03-16 21:57:26,78,0
42,2026-03-16 21:57:27,78,0
43,2026-03-16 21:57:28,78,0
44,2026-03-16 21:57:29,78,0
45,2026-03-16 21:57:30,78,0
