contador,timestamp,# palabras leidas,# errores
1,2026-03-16 21:57:38,0,0
2,2026-03-16 21:57:39,0,0
3,2026-03-16 21:57:40,0,0
4,2026-03-16 21:57:41,0,0
5,2026-03-16 21:57:42,0,0
6,2026-03-16 21:57:43,0,0
7,2026-03-16 21:57:44,0,0
8,2026-03-16 21:57:45,0,0
9,2026-03-16 21:57:46,0,0
10,2026-03-16 21:57:47,0,0
11,2026-03-16 21:57:48,0,0
12,2026-03-16 21:57:49,0,0
13,2026-03-16 21:57:50,0,0
14,2026-03-16 21:57:51,0,0
15,2026-03-16 21:57:52,0,0
16,2026-03-16 21:57:53,0,0
17,2026-03-16 21:57:54,0,0
18,2026-03-16 21:57:55,0,0
19,2026-03-16 21:57:56,0,0
20,2026-03-16 21:57:57,18,0
21,2026-03-16 21:57:58,18,0
22,2026-03-16 21:57:59,18,0
23,2026-03-16 21:58:00,18,0
24,2026-03-16 21:58:01,18,0
25,2026-03-16 21:58:02,18,0
26,2026-03-16 21:58:03,18,0
27,2026-03-16 21:58:04,18,0
28,2026-03-16 21:58:05,21,9
29,2026-03-16 21:58:07,21,9
30,2026-03-16 21:58:08,21,9
31,2026-03-16 21:58:09,21,9
32,2026-03-16 21:58:10,21,9
33,2026-03-16 21:58:11,24,19
34,2026-03-16 21:58:12,24,19
35,2026-03-16 21:58:13,24,19
36,2026-03-16 21:58:14,24,19
37,2026-03-16 21:58:15,24,19
38,2026-03-16 21:58:16,24,19
39,2026-03-16 21:58:17,30,43
40,2026-03-16 21:58:18,30,43
41,2026-03-16 21:58:19,30,43
42,2026-03-16 21:58:20,30,43
43,2026-03-16 21:58:21,30,43
44,2026-03-16 21:58:22,30,43
45,2026-03-16 21:58:23,30,43
46,2026-03-16 21:58:24,30,43
47,2026-03-16 21:58:25,30,43
48,2026-03-16 21:58:26,30,43
49,2026-03-16 21:58:27,30,43
50,2026-03-16 21:58:28,44,59
51,2026-03-16 21:58:29,44,59
52,2026-03-16 21:58:30,44,59
53,2026-03-16 21:58:31,44,59
54,2026-03-16 21:58:32,44,59
55,2026-03-16 21:58:33,44,59
56,2026-03-16 21:58:34,44,59
57,2026-03-16 21:58:35,44,59
58,2026-03-16 21:58:36,44,59
