contador,timestamp,direccion,retencion,distraccion
1,2026-03-16 21:57:51,frente,1,0
2,2026-03-16 21:57:53,frente,2,0
3,2026-03-16 21:57:54,frente,3,0
4,2026-03-16 21:57:55,frente,4,0
5,2026-03-16 21:57:56,frente,5,0
6,2026-03-16 21:57:57,frente,6,0
7,2026-03-16 21:57:58,frente,7,0
8,2026-03-16 21:57:59,frente,8,0
9,2026-03-16 21:58:00,frente,9,0
10,2026-03-16 21:58:01,frente,10,0
11,2026-03-16 21:58:03,frente,11,0
12,2026-03-16 21:58:04,frente,12,0
13,2026-03-16 21:58:05,frente,13,0
14,2026-03-16 21:58:06,frente,14,0
15,2026-03-16 21:58:07,frente,15,0
16,2026-03-16 21:58:08,frente,16,0
17,2026-03-16 21:58:09,frente,17,0
18,2026-03-16 21:58:10,frente,18,0
19,2026-03-16 21:58:11,frente,19,0
20,2026-03-16 21:58:13,frente,20,0
21,2026-03-16 21:58:14,frente,21,0
22,2026-03-16 21:58:15,frente,22,0
23,2026-03-16 21:58:16,frente,23,0
24,2026-03-16 21:58:17,frente,24,0
25,2026-03-16 21:58:18,frente,25,0
26,2026-03-16 21:58:19,frente,26,0
27,2026-03-16 21:58:20,frente,27,0
28,2026-03-16 21:58:21,frente,28,0
29,2026-03-16 21:58:22,frente,29,0
30,2026-03-16 21:58:23,frente,30,0
31,2026-03-16 21:58:24,frente,31,0
32,2026-03-16 21:58:25,frente,32,0
33,2026-03-16 21:58:26,frente,33,0
34,2026-03-16 21:58:27,frente,34,0
35,2026-03-16 21:58:28,frente,35,0
36,2026-03-16 21:58:29,frente,36,0
37,2026-03-16 21:58:30,frente,37,0
38,2026-03-16 21:58:31,frente,38,0
39,2026-03-16 21:58:33,frente,39,0
40,2026-03-16 21:58:34,frente,40,0
41,2026-03-16 21:58:35,frente,41,0
42,2026-03-16 21:58:36,frente,42,0
43,2026-03-16 21:58:37,frente,43,0
